:Product: Daily Geomagnetic Data     2022_DGD.txt
:Issued: 0000 UT 01 Jan 2023
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             2022 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2022 01 28     7  1 2 2 1 1 2 2 3    10  1 1 3 3 3 2 1 3     8  2 2 2 1 1 1 2 4
2022 01 29    14  3 4 3 3 4 2 1 1    38  2 3 5 6 7 2 1 0    17  4 4 4 3 4 1 1 1
2022 01 30     8  2 3 3 1 2 2 1 2    12  1 2 3 3 4 3 1 2    10  3 3 3 2 2 2 1 3
2022 01 31     8  2 3 2 3 2 2 1 1    30  2 3 5 6 4 5 2 2    10  3 3 2 3 2 2 2 2
2022 02 01     5  1 2 0 1 1 1 1 3     5  0 1 1 2 3 1 0 2     7  2 2 1 1 2 1 1 4
2022 02 02     9  3 3 1 0 2 4 1 1     9  2 0 0 0 3 5 1 0    12  4 3 1 1 2 4 2 1
2022 02 03    18  2 4 5 4 3 2 2 2    48  1 2 6 7 6 5 3 2    27  2 4 5 5 4 3 3 3
2022 02 04    18  4 3 3 3 3 4 3 3    61  3 5 6 6 6 6 6 4    32  4 4 3 4 4 5 5 4
2022 02 05    10  3 3 1 3 2 2 2 2    17  3 2 3 5 3 3 3 2    12  3 3 2 3 3 3 3 2
2022 02 06    12  3 3 3 3 3 2 2 2    19  2 3 3 5 5 1 2 2    15  4 3 3 3 3 2 2 3
2022 02 07     4  1 1 0 2 1 2 2 1     7  1 1 2 3 2 3 1 1     7  2 2 1 1 1 3 2 2
2022 02 08     3  1 0 1 1 1 1 1 1     7  1 0 1 4 2 2 1 1     5  2 0 1 1 1 2 2 1
2022 02 09     2  0 0 0 1 1 1 1 2     0  0 0 0 0 0 0 0 1     3  1 0 1 1 0 0 1 2
2022 02 10    12  1 2 1 2 3 4 3 3    39  1 1 2 3 3 7 6 5    21  3 2 2 2 3 5 5 4
2022 02 11    12  4 2 2 3 1 2 3 3    14  3 3 3 3 1 2 4 3    20  4 3 2 4 1 3 5 4
2022 02 12    10  3 3 2 1 2 3 2 2    18  3 2 3 4 4 4 3 2    13  3 3 2 2 3 3 3 3
2022 02 13     9  3 2 2 2 3 2 2 2    21  3 2 3 5 5 4 2 1    15  4 3 2 3 3 3 3 3
2022 02 14     6  2 2 2 2 2 2 1 0    13  2 1 3 5 2 3 2 0     8  3 2 2 2 2 2 2 1
2022 02 15     3  1 2 1 0 1 0 1 1     3  2 1 0 0 1 2 0 0     5  2 2 1 1 1 0 1 1
2022 02 16     6  0 2 2 1 3 1 2 2     9  0 0 2 4 3 3 2 1     9  1 2 2 2 2 2 3 3
2022 02 17     4  2 1 1 0 1 2 1 1     2  1 1 1 1 2 0 0 0     5  2 2 1 1 1 0 1 1
2022 02 18     5  0 0 2 1 2 2 2 2     8  0 0 2 2 4 3 2 1     6  0 1 1 1 2 2 2 2
2022 02 19     6  2 2 2 1 2 2 1 2    17  1 4 3 4 4 4 2 1     9  3 3 2 2 2 2 2 2
2022 02 20     8  3 3 1 1 1 3 2 1    10  4 3 1 3 0 2 2 1    13  5 3 2 2 1 2 3 2
2022 02 21    11  1 1 2 2 4 3 2 3    36  1 0 4 6 7 4 2 2    12  1 1 2 3 4 3 3 3
2022 02 22    13  3 4 4 3 2 1 2 1    23  2 4 6 5 3 0 1 1    16  3 4 5 3 2 1 2 2
2022 02 23     4  0 0 2 1 2 1 1 2    12  1 0 2 3 4 4 2 2     6  1 0 2 2 2 2 1 2
2022 02 24     6  2 3 2 1 1 2 1 1     4  2 2 3 1 0 0 0 1     7  3 3 2 1 0 1 1 2
2022 02 25     7  1 2 3 3 3 0 0 1    21  1 1 4 6 5 0 0 1     8  2 2 3 3 2 0 0 1
2022 02 26     1  1 0 1 0 0 1 0 0     0  0 0 0 0 0 0 0 0     3  1 0 1 0 0 0 1 1
2022 02 27    11  2 2 4 3 3 2 2 1    20  0 1 4 5 5 3 3 2    13  1 2 4 4 3 3 2 2
2022 02 28     5  1 2 1 2 2 1 2 1     8  1 1 0 4 3 2 1 1     8  2 3 1 2 2 2 2 2
2022 03 01     6  1 1 2 2 3 1 2 1    18  1 1 5 5 4 2 2 1     8  2 2 3 2 2 1 2 2
2022 03 02     3  0 1 1 2 1 1 1 1     3  0 1 0 3 0 0 0 1     4  1 1 1 2 0 1 1 1
2022 03 03     3  0 0 0 1 2 1 2 2     2  0 0 0 0 1 1 1 1     5  1 1 0 1 1 1 2 3
2022 03 04     7  3 2 2 1 2 1 2 2    13  1 2 2 5 3 3 2 1    10  3 3 2 2 2 2 3 3
2022 03 05    19  3 2 2 4 4 4 3 4    42  2 2 3 6 7 5 4 3    27  4 2 2 4 5 4 5 5
2022 03 06    13  4 2 4 2 3 1 2 2    33  4 2 5 6 6 3 2 1    18  5 3 4 3 3 1 2 2
2022 03 07     7  2 2 1 2 3 2 1 1    13  1 2 1 4 4 4 2 1     9  3 3 1 2 3 2 2 2
2022 03 08     5  2 2 0 1 1 2 1 2     3  2 1 0 2 1 0 1 1     6  3 2 1 1 1 1 1 2
2022 03 09     4  2 0 1 1 2 1 0 2     3  1 1 0 1 3 1 0 0     5  3 1 1 1 1 0 1 2
2022 03 10     7  1 1 1 2 2 2 3 2    20  1 1 4 3 5 4 4 2    10  2 1 2 2 2 3 4 2
2022 03 11    15  4 3 4 2 3 2 2 3    22  2 3 4 4 4 5 2 3    20  4 3 4 2 3 3 3 5
2022 03 12     7  3 3 2 1 1 1 1 1    -1  3 5 4 1 3-1-1-1    13  5 4 3 1 1 0 1 2
2022 03 13    30  1 1 0 4 5 4 5 6    65  0 0 0 5 7 7 7 5    40  2 1 0 4 6 5 6 6
2022 03 14    13  5 3 2 2 3 2 1 1    10  4 2 2 2 1 3 1 2    14  6 3 2 2 2 2 1 1
2022 03 15     5  1 2 1 1 2 2 1 2     3  1 1 0 0 1 2 1 1     7  1 2 1 1 2 2 1 3
2022 03 16     3  1 0 0 1 2 1 1 2     6  0 0 1 3 4 1 0 1     5  1 0 1 2 2 2 2 2
2022 03 17     6  2 2 2 2 2 2 1 0     5  1 2 2 3 2 1 0 0     6  2 2 2 2 1 1 0 1
2022 03 18     3  1 0 0 1 2 2 1 1     1  0 1 0 1 1 0 0 0     4  2 1 0 1 1 1 1 1
2022 03 19     6  1 0 2 2 2 2 2 2     8  0 0 5 3 0 0 1 0     5  1 0 2 2 1 0 1 2
2022 03 20    11  3 3 3 2 2 2 1 3    10  3 4 4 2 0 0 0 1     9  3 3 2 2 1 1 0 3
2022 03 21     4  1 0 0 1 2 3 1 1     0  0 0 0 0 0 0 0 1     4  2 0 0 1 1 1 1 1
2022 03 22     7  2 2 1 1 2 2 3 2     5  2 1 1 1 1 1 2 2     9  2 3 2 1 1 1 3 2
2022 03 23     6  2 1 2 2 2 2 2 1    10  1 1 4 4 1 2 1 1     7  2 1 2 2 1 2 2 1
2022 03 24     7  3 1 1 2 2 2 1 2    12  2 1 0 4 5 1 1 1     9  3 2 1 3 3 2 1 2
2022 03 25    10  3 3 2 3 2 2 2 1    13  2 1 3 5 3 1 2 1    10  3 3 2 3 2 2 2 1
2022 03 26     7  2 0 1 3 2 3 2 1    11  1 1 1 5 1 2 3 1     7  2 1 1 2 1 2 3 2
2022 03 27    15  1 2 2 3 3 4 4 3    29  2 2 2 5 4 6 5 2    18  2 2 2 3 3 4 4 4
2022 03 28    10  4 4 1 2 2 1 1 1     9  3 3 3 3 3 0 0 0    10  4 4 2 2 1 0 1 1
2022 03 29     6  1 2 2 2 2 1 2 2     3  1 0 1 1 2 1 1 1     8  2 2 2 2 2 2 2 2
2022 03 30     7  1 1 0 2 2 3 2 3     5  1 1 2 3 0 1 1 2     8  1 1 1 2 1 2 2 4
2022 03 31    18  4 4 3 3 4 3 2 2    35  4 5 5 6 4 4 2 3    13  5 5 4 4 4 4 2 3
2022 04 01    12  2 3 4 3 3 2 1 2    35  2 2 6 6 6 3 1 2    17  3 3 4 4 4 3 2 2
2022 04 02    19  4 4 4 2 3 3 3 3    27  4 5 6 4 2 2 3 2    22  4 5 4 2 2 3 4 3
2022 04 03     7  2 1 1 1 2 2 2 3     5  1 1 1 1 2 2 1 2    10  4 2 2 2 2 2 2 3
2022 04 04     8  3 3 2 2 2 2 2 0    13  3 3 4 3 3 2 2 1    11  4 4 3 2 2 2 2 1
2022 04 05     6  2 2 2 2 2 2 2 0     6  1 2 3 3 2 1 0 0     6  2 2 2 2 1 2 1 1
2022 04 06     6  2 0 2 2 2 2 2 1     6  1 2 2 3 2 1 1 1     8  3 2 2 3 1 2 1 2
2022 04 07    12  2 4 2 3 3 2 2 2    23  2 3 4 6 4 3 2 2    15  2 4 3 4 3 3 2 3
2022 04 08     9  3 3 2 2 2 2 2 2     7  4 2 1 1 1 0 1 2     9  4 3 2 1 1 1 2 2
2022 04 09    17  3 3 4 3 4 4 2 1    34  3 4 6 5 3 6 2 0    19  4 4 4 3 3 4 3 1
2022 04 10    18  2 6 3 3 2 2 1 2    38  2 6 6 6 4 3 2 2    34  3 7 5 4 2 2 2 3
2022 04 11    13  4 3 3 3 3 2 2 1    15  3 3 4 5 2 1 1 1    13  4 4 3 3 2 2 2 1
2022 04 12    10  2 1 1 2 3 3 3 3    18  1 1 1 3 5 5 3 2    12  2 1 1 2 3 4 3 3
2022 04 13     9  2 3 4 1 2 1 1 2    12  3 3 4 4 2 0 0 1     9  3 3 4 2 1 0 0 2
2022 04 14    22  3 3 4 3 4 5 3 3    56  2 3 6 5 5 7 6 4    38  3 3 4 5 4 6 5 4
2022 04 15    14  3 4 3 3 3 2 2 2    26  5 3 2 4 5 5 2 2    21  5 4 3 4 3 3 2 2
2022 04 16     7  2 1 1 2 3 2 2 2    12  2 1 1 3 5 2 2 1     8  2 2 2 1 3 2 2 3
2022 04 17     9  2 3 2 3 2 2 2 2    11  2 3 1 4 2 3 2 1    11  3 3 2 3 2 3 2 2
2022 04 18     7  1 2 2 2 2 2 3 1    14  1 2 4 5 2 2 2 2     8  2 2 2 2 1 2 3 1
2022 04 19     8  3 3 2 2 2 2 1 1    10  2 3 2 3 4 1 0 1     7  3 3 2 2 2 1 0 1
2022 04 20     9  3 2 2 2 1 2 2 3     6  2 2 3 1 0 1 1 2     9  3 2 2 2 1 2 2 3
2022 04 21     9  3 3 2 2 3 1 2 1    22  3 3 5 5 4 2 2 2    10  3 3 3 2 3 2 2 1
2022 04 22     7  1 3 1 2 2 2 2 2     6  2 2 1 2 1 2 2 1     7  1 3 1 2 1 2 2 2
2022 04 23    12  2 2 2 3 4 2 2 3    23  2 2 1 6 5 3 2 3    13  2 2 2 4 3 2 2 4
2022 04 24     5  2 2 2 1 2 1 1 0     3  2 2 1 0 1 1 1 0     5  2 2 2 1 1 1 1 0
2022 04 25     4  0 0 1 2 2 1 2 1     8  0 1 1 5 2 1 1 0     5  1 1 1 2 1 1 2 1
2022 04 26     3  0 0 1 1 2 1 1 1     1  0 0 1 0 1 0 0 0     3  0 0 1 1 1 1 1 1
2022 04 27    16  2 2 2 1 5 3 3 4    22  2 2 1 1 6 5 3 3    21  2 2 1 1 5 4 3 5
2022 04 28    11  2 3 3 1 2 2 3 3    21  3 3 5 5 3 3 2 2    14  3 3 4 2 2 2 3 3
2022 04 29    10  3 3 2 2 3 2 2 2    23  2 4 3 5 5 4 2 2    15  4 4 3 2 3 3 3 2
2022 04 30    16  4 4 3 1 3 4 2 2    33  5 5 5 5 3 5 1 1    18  4 5 3 3 2 3 2 2
2022 05 01     9  2 3 3 2 2 2 2 2    11  1 3 3 4 3 1 1 2     9  3 3 3 2 2 1 2 2
2022 05 02     6  2 2 1 1 2 2 2 1     3  2 2 0 0 0 1 1 0     6  3 2 1 1 1 1 2 1
2022 05 03     7  1 2 3 2 2 1 2 2    10  1 2 3 3 4 1 1 1     7  2 2 2 2 2 1 1 2
2022 05 04     6  2 2 2 2 2 0 2 2    13  2 2 5 3 3 1 1 1     6  2 2 2 2 2 0 1 2
2022 05 05     4  1 1 1 1 2 2 1 1     4  0 2 3 0 1 1 1 0     4  1 1 2 1 1 1 1 1
2022 05 06    -1  0 1 2 1 2 2 1-1    -1  0 0 3 2 3 1 0-1     5  0 1 2 1 2 2 1 1
2022 05 07     4  2 0 0 1 2 1 1 2     1  0 0 0 0 1 0 0 1     3  1 1 1 1 1 0 0 2
2022 05 08     7  3 2 1 2 2 1 2 2     7  2 1 1 3 2 3 1 1     6  2 1 1 2 2 2 1 2
2022 05 09     8  2 4 2 2 2 1 1 1    11  2 4 4 2 3 1 1 0     8  3 3 2 2 2 1 1 0
2022 05 10     2  0 0 0 1 2 1 1 1     1  0 1 0 0 1 1 0 0     3  0 1 0 1 2 1 1 1
2022 05 11     5  1 1 1 1 2 2 2 2     4  0 1 1 2 1 2 1 2     6  1 1 1 1 2 2 2 2
2022 05 12     8  2 2 1 1 3 2 3 2    13  2 4 3 1 4 3 2 1     8  2 2 2 1 2 2 2 2
2022 05 13     7  2 1 1 1 3 1 2 3     6  1 2 1 3 2 1 1 1     7  2 1 2 2 2 1 2 3
2022 05 14     9  2 1 2 2 2 3 3 2     6  2 2 2 2 1 2 2 1     7  2 1 2 2 1 3 2 2
2022 05 15    10  3 3 2 2 3 2 2 2    18  4 4 4 4 3 2 2 1    12  4 4 3 2 3 3 2 1
2022 05 16    11  1 3 3 4 2 2 2 1    17  1 3 4 4 5 2 2 0    10  2 3 3 3 2 2 2 1
2022 05 17    15  2 3 4 4 4 1 2 2    21  1 3 4 5 5 3 2 2    12  1 3 3 3 3 2 2 2
2022 05 18     7  3 2 1 2 2 1 2 2     6  2 1 0 3 2 1 1 2     7  3 2 1 2 1 1 2 2
2022 05 19    10  2 2 3 3 3 2 2 2    10  2 3 3 1 3 2 2 2    10  3 3 3 2 3 2 2 2
2022 05 20    12  1 2 2 4 3 3 1 3    15  2 3 2 5 3 3 2 2    12  2 3 2 3 2 3 2 4
2022 05 21     9  3 3 2 2 3 2 1 1    25  2 4 3 2 6 5 3 1    10  3 3 2 1 3 3 2 0
2022 05 22    11  3 3 4 2 2 2 2 1    23  2 4 4 4 6 2 2 1    11  4 3 3 2 3 2 1 1
2022 05 23     6  1 1 3 3 2 1 1 0    11  2 1 5 4 0 0 0 0     5  2 1 3 2 1 1 0 0
2022 05 24     3  0 0 1 2 2 1 1 1     4  1 1 0 3 2 0 1 1     4  1 2 1 1 2 1 0 1
2022 05 25     7  1 1 2 3 2 2 2 2     6  2 3 2 2 0 1 1 1     6  1 2 2 2 1 1 2 2
2022 05 26     6  1 1 1 1 3 2 2 1     2  1 2 1 1 0 0 0 0     4  1 1 1 1 2 1 1 0
2022 05 27    14  0 2 2 2 5 3 3 3    24  0 1 1 1 6 6 3 2    17  1 1 2 2 5 4 3 4
2022 05 28    19  4 5 4 3 3 1 2 2    46  5 6 7 5 4 3 1 2    24  5 5 5 3 2 2 1 2
2022 05 29    14  2 2 4 2 3 3 3 3    31  3 4 6 4 4 5 3 2    15  3 3 3 3 3 3 3 3
2022 05 30     8  3 2 1 2 2 2 2 2    10  3 3 3 2 1 3 1 2     9  3 3 2 2 1 2 2 2
2022 05 31     8  3 2 2 2 2 2 2 2    21  3 4 4 3 4 5 2 1     9  3 2 2 2 2 2 3 1
2022 06 01     8  2 3 2 3 2 1 1 1     8  3 3 2 3 2 1 0 1     6  2 2 2 2 1 1 0 1
2022 06 02     5  1 1 0 2 2 2 2 2     8  1 0 1 4 4 0 1 1     5  1 1 1 2 1 1 1 2
2022 06 03     4  0 1 2 2 2 1 1 1     3  1 1 1 2 1 0 1 0     4  1 1 2 1 1 1 1 1
2022 06 04     4  0 2 2 1 2 1 1 0     1  0 0 1 0 1 0 0 0     4  1 1 2 1 1 1 1 1
2022 06 05     5  0 1 1 2 3 1 2 1     2  0 1 1 2 0 0 1 0     4  1 1 1 1 1 1 1 1
2022 06 06    10  2 2 2 2 3 2 3 3    13  1 1 2 5 4 2 2 1    10  2 2 2 3 3 2 3 3
2022 06 07    11  2 3 2 3 3 1 2 3    14  2 4 2 4 2 4 1 1     8  2 2 2 3 2 2 1 2
2022 06 08     5  2 0 1 2 2 1 1 2     3  2 0 0 2 0 0 2 1     5  2 1 1 2 1 0 2 2
2022 06 09     6  1 3 1 1 2 1 2 2    10  1 2 1 4 4 2 0 1     5  1 2 1 1 2 1 1 2
2022 06 10     6  2 1 1 2 3 1 2 1     5  2 1 1 1 3 1 0 1     5  2 1 1 2 2 0 1 1
2022 06 11    10  2 2 3 1 3 2 3 2     6  1 2 3 2 1 1 1 1     8  2 2 3 1 2 2 1 2
2022 06 12    12  2 3 2 3 3 3 3 2    11  1 2 2 3 4 3 2 2     9  2 2 2 2 2 3 3 2
2022 06 13    14  3 4 2 2 3 3 3 2    13  3 4 2 3 3 2 2 2    13  3 5 2 2 2 3 2 2
2022 06 14    10  2 2 2 2 3 3 2 3     7  2 2 2 2 2 2 1 2     8  2 2 2 2 2 2 2 3
2022 06 15    18  2 4 3 3 4 4 2 3    49  3 4 4 6 6 7 3 2    20  2 4 3 4 5 4 2 2
2022 06 16    14  2 3 3 3 3 2 2 4    21  2 3 2 6 4 2 2 3    12  2 3 2 3 3 2 2 4
2022 06 17    14  3 2 2 3 3 2 4 3    18  4 2 3 4 4 2 3 3    13  3 2 2 3 3 2 4 3
2022 06 18    15  3 3 2 3 2 2 4 4    14  4 4 2 2 1 2 3 3    14  3 3 2 3 1 2 3 4
2022 06 19    10  3 3 2 3 2 3 1 1    24  3 4 3 5 5 4 2 1    12  4 3 2 3 2 3 2 1
2022 06 20    10  1 1 3 3 3 3 2 2    25  2 1 4 1 5 6 4 2    10  2 1 3 2 3 3 3 2
2022 06 21    10  2 2 2 3 3 2 2 3    13  2 2 4 4 3 2 1 2     8  2 2 1 3 2 1 2 3
2022 06 22    10  2 2 3 3 2 2 3 2    19  2 3 3 4 5 4 2 2    11  2 2 3 3 3 2 3 3
2022 06 23    12  3 3 2 3 2 2 3 3    12  4 3 2 3 2 2 2 2    10  3 3 2 2 2 2 3 2
2022 06 24     8  3 1 0 1 2 2 3 3     4  2 1 0 0 0 2 2 2     8  3 1 0 1 1 2 3 3
2022 06 25    14  3 2 3 2 3 2 3 4    27  3 1 3 3 5 5 5 4    16  3 2 2 2 2 3 4 5
2022 06 26    15  4 2 2 3 4 2 3 3    29  4 3 2 6 5 4 3 3    23  5 2 2 4 4 3 4 4
2022 06 27    15  4 4 4 2 2 2 2 2    15  4 5 4 1 1 0 2 2    12  4 4 3 1 1 1 2 2
2022 06 28    11  1 3 2 2 2 3 3 3    11  2 3 3 4 2 1 2 2     8  1 3 2 2 1 1 2 3
2022 06 29     7  2 2 2 3 2 1 1 1     9  2 2 2 4 3 1 0 1     6  2 2 2 2 2 1 1 1
2022 06 30     5  1 1 1 2 2 2 2 1     5  1 1 1 2 3 1 1 0    16  1 1 1 1 1 1 1 1
2022 07 01     8  1 0 0 2 2 3 3 3     3  1 1 0 0 0 0 2 2     7  2 1 1 1 1 2 3 3
2022 07 02    17  4 4 4 3 2 3 1 3    25  4 5 5 4 3 4 2 1    19  4 5 4 3 2 3 1 3
2022 07 03    11  3 0 2 2 3 2 2 4     4  2 0 1 1 1 1 1 2     8  2 0 1 2 2 1 2 4
2022 07 04    18  3 4 4 3 3 3 3 3    30  3 6 4 2 5 4 4 2    21  3 5 4 3 3 4 4 3
2022 07 05     4  1 0 0 2 2 2 1 1     3  1 1 1 1 0 1 1 1     4  1 1 1 1 1 1 1 1
2022 07 06     5  1 2 1 2 2 2 1 1     4  1 0 2 3 0 1 0 0     5  1 1 2 2 1 1 1 0
2022 07 07    15  1 0 3 3 5 3 2 3    46  0 0 2 3 6 6 7 5    20  0 1 2 2 5 4 4 5
2022 07 08    14  3 4 3 3 2 2 3 2    26  5 5 3 5 4 2 3 1    19  5 5 3 3 3 2 3 2
2022 07 09     6  2 1 0 1 3 2 1 2     6  1 2 0 0 3 3 1 1     6  1 1 0 1 3 2 1 2
2022 07 10     8  0 1 3 2 3 2 2 2    14  1 2 3 4 5 1 2 1     7  1 1 3 2 3 1 2 1
2022 07 11    10  1 0 1 3 3 3 3 3    10  1 0 1 1 4 2 4 2    12  1 1 1 2 2 3 4 3
2022 07 12    16  3 3 3 4 4 2 3 2    36  2 4 5 5 6 4 5 1    18  3 3 3 4 5 3 3 3
2022 07 13     5  2 1 1 2 2 2 0 1     9  1 1 1 3 4 3 1 0     5  2 2 2 1 2 1 1 1
2022 07 14     5  0 1 0 1 2 3 2 2     2  0 0 0 1 1 2 1 1     5  1 1 1 1 1 2 1 2
2022 07 15     7  0 2 0 2 2 3 3 2     9  1 3 1 1 3 3 2 2     8  2 2 0 2 2 2 3 3
2022 07 16     9  2 3 3 3 2 1 1 1     6  2 2 2 3 1 0 1 1     7  2 2 3 2 1 1 1 1
2022 07 17     6  1 1 2 2 2 2 2 1     2  0 0 1 0 1 1 2 0     5  1 1 1 2 1 1 2 1
2022 07 18    10  1 2 1 3 2 2 2 4    18  0 1 3 5 5 1 4 0     8  1 1 2 3 2 1 2 3
2022 07 19    19  3 4 4 3 4 3 2 3    43  1 4 6 5 5 6 5 2    26  3 4 5 4 4 4 4 4
2022 07 20     7  2 3 1 2 2 2 1 2    12  3 2 1 4 4 2 1 2     7  2 3 1 2 2 1 1 2
2022 07 21    14  2 1 1 3 3 4 4 3    25  1 1 2 5 4 6 3 3    22  2 1 2 3 3 5 5 4
2022 07 22    11  3 2 3 3 2 2 2 3    20  4 3 5 5 2 2 1 2    11  3 3 3 3 1 2 2 3
2022 07 23    15  3 5 3 3 2 2 2 2    26  3 5 5 4 5 2 2 2    17  3 5 4 2 2 1 1 3
2022 07 24     9  2 3 2 2 3 2 2 2    15  3 3 3 4 3 3 2 2     9  3 2 2 2 2 2 3 2
2022 07 25     8  3 2 0 2 3 2 1 2     4  2 2 1 0 1 1 1 1     6  3 2 1 1 1 1 1 2
2022 07 26     7  3 2 0 2 2 2 2 2     6  2 3 0 2 2 1 1 2     8  4 2 1 2 2 1 1 2
2022 07 27     9  2 2 2 2 3 2 2 3    10  2 3 2 3 3 2 1 2     9  3 2 2 2 2 2 2 3
2022 07 28     9  2 2 3 2 3 2 2 1    10  1 3 3 1 4 2 1 1     7  2 2 3 1 2 2 2 1
2022 07 29     6  1 1 1 1 3 2 1 2     2  1 1 0 0 1 1 1 0     4  1 1 1 1 1 1 1 2
2022 07 30     8  1 1 2 2 2 3 1 3     6  1 2 1 2 3 1 1 1     7  2 2 1 1 2 2 1 3
2022 07 31    12  2 2 3 3 3 3 2 3    11  2 2 2 0 4 4 1 2    11  2 2 2 2 3 4 2 3
2022 08 01     8  2 2 2 2 3 1 2 2    12  2 3 2 4 4 2 1 1     8  3 2 2 2 2 1 1 2
2022 08 02    10  3 2 3 2 2 2 2 3    11  2 2 2 4 3 2 2 2     9  2 2 3 2 1 2 3 3
2022 08 03     7  3 2 1 2 2 1 2 2     9  2 3 3 3 2 2 1 1     8  3 3 2 2 1 2 2 2
2022 08 04     7  2 1 1 2 3 2 2 1     4  2 1 1 1 2 1 1 1     6  2 1 1 2 2 2 2 2
2022 08 05     7  3 2 1 2 2 2 1 1     3  2 2 0 0 1 1 0 1     6  3 2 1 1 1 1 0 2
2022 08 06     5  1 0 0 2 2 2 2 2     1  1 0 0 0 0 0 1 0     4  1 1 1 1 1 1 1 2
2022 08 07    20  1 2 3 4 4 3 3 5    42  0 2 4 6 6 6 3 5    24  1 2 3 4 4 4 4 6
2022 08 08    21  4 4 4 4 3 3 3 3    48  5 5 6 6 5 5 3 3    31  5 5 5 4 3 3 4 4
2022 08 09    15  2 4 3 3 3 3 3 2    45  3 4 6 6 6 5 3 3    19  3 4 3 4 4 4 3 2
2022 08 10    10  2 3 1 2 3 2 3 2    23  3 3 2 5 5 3 4 2    11  2 3 2 2 3 3 3 3
